Town,FIPS,Year,Age Range,Allegation Type,Report Status,Measure Type,Variable,Value
Wethersfield,0900384900,2009,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,23.8
Wethersfield,0900384900,2011,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,8.33
Wethersfield,0900384900,2009,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,5.55
Wethersfield,0900384900,2010,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,21.42
Wethersfield,0900384900,2011,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,32
Wethersfield,0900384900,2013,0 to 8,Educational Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Wethersfield,0900384900,2013,0 to 8,Emotional Neglect,Pending,Number,Child Abuse and Neglect,1
Wethersfield,0900384900,2013,9 to 17,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,11
Wethersfield,0900384900,2013,0 to 8,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Wethersfield,0900384900,2013,0 to 8,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,33
Wethersfield,0900384900,2008,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,37.29
Wethersfield,0900384900,2010,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,5.95
Wethersfield,0900384900,2008,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,6.35
Wethersfield,0900384900,2008,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,17.06
Wethersfield,0900384900,2009,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,82
Wethersfield,0900384900,2010,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,31.73
Wethersfield,0900384900,2009,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,19
Wethersfield,0900384900,2011,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,7.54
Wethersfield,0900384900,2008,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,14
Wethersfield,0900384900,2013,9 to 17,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Wethersfield,0900384900,2013,0 to 8,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,1
Wethersfield,0900384900,2011,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,21.02
Wethersfield,0900384900,2013,0 to 8,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,8
Wethersfield,0900384900,2009,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,22
Wethersfield,0900384900,2013,9 to 17,Educational Neglect,Pending,Number,Child Abuse and Neglect,0
Wethersfield,0900384900,2011,0 to 9,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,15
Wethersfield,0900384900,2013,0 to 8,Educational Neglect,Pending,Number,Child Abuse and Neglect,0
Wethersfield,0900384900,2013,0 to 8,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Wethersfield,0900384900,2013,0 to 8,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,2
Wethersfield,0900384900,2013,9 to 17,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Wethersfield,0900384900,2013,0 to 8,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,22
Wethersfield,0900384900,2011,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,7.54
Wethersfield,0900384900,2009,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,7.54
Wethersfield,0900384900,2010,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,16.66
Wethersfield,0900384900,2009,0 to 9,Educational,Total reports,Rate per 1000,Child Abuse and Neglect,3.97
Wethersfield,0900384900,2013,9 to 17,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,22
Wethersfield,0900384900,2011,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,14.28
Wethersfield,0900384900,2013,9 to 17,Educational Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Wethersfield,0900384900,2010,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,80
Wethersfield,0900384900,2011,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,53
Wethersfield,0900384900,2013,0 to 8,Educational Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Wethersfield,0900384900,2010,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,15
Wethersfield,0900384900,2009,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,33
Wethersfield,0900384900,2011,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,19
Wethersfield,0900384900,2011,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,36
Wethersfield,0900384900,2008,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,26
Wethersfield,0900384900,2013,9 to 17,Physical Abuse,Pending,Number,Child Abuse and Neglect,1
Wethersfield,0900384900,2010,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,25
Wethersfield,0900384900,2011,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,14.68
Wethersfield,0900384900,2013,0 to 8,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Wethersfield,0900384900,2011,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,37
Wethersfield,0900384900,2009,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,8.73
Wethersfield,0900384900,2008,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,5.55
Wethersfield,0900384900,2012,0 to 9,All,Substantiated unduplicated,Number,Child Abuse and Neglect,43
Wethersfield,0900384900,2013,9 to 17,Emotional Neglect,Pending,Number,Child Abuse and Neglect,1
Wethersfield,0900384900,2013,9 to 17,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Wethersfield,0900384900,2013,9 to 17,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Wethersfield,0900384900,2008,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,7.54
Wethersfield,0900384900,2013,9 to 17,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Wethersfield,0900384900,2013,0 to 8,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Wethersfield,0900384900,2013,0 to 8,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Wethersfield,0900384900,2013,9 to 17,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,33
Wethersfield,0900384900,2013,0 to 8,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Wethersfield,0900384900,2009,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,14
Wethersfield,0900384900,2008,0 to 9,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,19
Wethersfield,0900384900,2013,0 to 8,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Wethersfield,0900384900,2009,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,13.09
Wethersfield,0900384900,2013,9 to 17,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,14
Wethersfield,0900384900,2013,9 to 17,All,Substantiated unduplicated,Number,Child Abuse and Neglect,-9999
Wethersfield,0900384900,2011,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,48
Wethersfield,0900384900,2008,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,15.47
Wethersfield,0900384900,2009,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,6.74
Wethersfield,0900384900,2013,0 to 8,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Wethersfield,0900384900,2008,0 to 9,Emotional Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,5.16
Wethersfield,0900384900,2013,9 to 17,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,2
Wethersfield,0900384900,2013,9 to 17,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Wethersfield,0900384900,2013,9 to 17,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Wethersfield,0900384900,2013,9 to 17,Educational Neglect,Unsubstantiated,Number,Child Abuse and Neglect,1
Wethersfield,0900384900,2010,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,42
Wethersfield,0900384900,2008,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,29.75
Wethersfield,0900384900,2011,0 to 9,Physical Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,12.69
Wethersfield,0900384900,2009,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,60
Wethersfield,0900384900,2013,0 to 8,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,2
Wethersfield,0900384900,2010,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,16
Wethersfield,0900384900,2013,0 to 8,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Wethersfield,0900384900,2008,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,39
Wethersfield,0900384900,2013,9 to 17,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Wethersfield,0900384900,2013,9 to 17,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Wethersfield,0900384900,2010,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,9.52
Wethersfield,0900384900,2011,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,84
Wethersfield,0900384900,2013,0 to 8,Physical Abuse,Pending,Number,Child Abuse and Neglect,1
Wethersfield,0900384900,2010,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,54
Wethersfield,0900384900,2008,0 to 9,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,13
Wethersfield,0900384900,2009,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,17
Wethersfield,0900384900,2008,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,16
Wethersfield,0900384900,2008,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,43
Wethersfield,0900384900,2009,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,5.55
Wethersfield,0900384900,2013,0 to 8,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,42
Wethersfield,0900384900,2012,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,17.06
Wethersfield,0900384900,2013,0 to 8,All,Substantiated unduplicated,Number,Child Abuse and Neglect,15
Wethersfield,0900384900,2010,0 to 9,Physical Abuse,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,6.35
Wethersfield,0900384900,2009,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,32.53
Wethersfield,0900384900,2008,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,75
Wethersfield,0900384900,2009,0 to 9,Educational,Total reports,Number,Child Abuse and Neglect,10
Wethersfield,0900384900,2008,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,10.31
Wethersfield,0900384900,2013,9 to 17,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,8
Wethersfield,0900384900,2010,0 to 9,Physical Abuse,Total reports,Number,Child Abuse and Neglect,24
Wethersfield,0900384900,2009,0 to 9,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,14
Wethersfield,0900384900,2013,9 to 17,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,1
Willimantic,0NA,2013,0 to 8,Moral Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Willimantic,0NA,2013,0 to 8,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,47
Willimantic,0NA,2013,0 to 8,All,Substantiated unduplicated,Number,Child Abuse and Neglect,97
Willimantic,0NA,2013,0 to 8,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Willimantic,0NA,2013,0 to 8,Educational Neglect,Pending,Number,Child Abuse and Neglect,0
Willimantic,0NA,2013,0 to 8,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Willimantic,0NA,2013,0 to 8,Emotional Neglect,Pending,Number,Child Abuse and Neglect,6
Willimantic,0NA,2013,0 to 8,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Willimantic,0NA,2013,0 to 8,Moral Neglect,Pending,Number,Child Abuse and Neglect,0
Willimantic,0NA,2013,0 to 8,Physical Abuse,Pending,Number,Child Abuse and Neglect,1
Willimantic,0NA,2013,0 to 8,Physical Neglect,Pending,Number,Child Abuse and Neglect,20
Willimantic,0NA,2013,0 to 8,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,1
Willimantic,0NA,2013,0 to 8,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,131
Willimantic,0NA,2013,0 to 8,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,86
Willimantic,0NA,2013,0 to 8,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Willimantic,0NA,2013,9 to 17,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,86
Willimantic,0NA,2013,9 to 17,All,Substantiated unduplicated,Number,Child Abuse and Neglect,22
Willimantic,0NA,2013,9 to 17,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,131
Willimantic,0NA,2013,0 to 8,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,11
Willimantic,0NA,2013,0 to 8,Educational Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Willimantic,0NA,2013,0 to 8,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Willimantic,0NA,2013,9 to 17,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Willimantic,0NA,2013,9 to 17,Educational Neglect,Pending,Number,Child Abuse and Neglect,0
Willimantic,0NA,2013,9 to 17,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Willimantic,0NA,2013,9 to 17,Emotional Neglect,Pending,Number,Child Abuse and Neglect,6
Willimantic,0NA,2013,9 to 17,Medical Neglect,Pending,Number,Child Abuse and Neglect,0
Willimantic,0NA,2013,9 to 17,Moral Neglect,Pending,Number,Child Abuse and Neglect,0
Willimantic,0NA,2013,9 to 17,Physical Abuse,Pending,Number,Child Abuse and Neglect,1
Willimantic,0NA,2013,9 to 17,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,1
Willimantic,0NA,2013,9 to 17,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,11
Willimantic,0NA,2013,9 to 17,Educational Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Willimantic,0NA,2013,0 to 8,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,35
Willimantic,0NA,2013,0 to 8,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,148
Willimantic,0NA,2013,9 to 17,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,12
Willimantic,0NA,2013,0 to 8,Medical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,12
Willimantic,0NA,2013,9 to 17,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Willimantic,0NA,2013,0 to 8,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Willimantic,0NA,2013,9 to 17,Medical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Willimantic,0NA,2013,9 to 17,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Willimantic,0NA,2013,9 to 17,Moral Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Willimantic,0NA,2013,9 to 17,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,47
Willimantic,0NA,2013,9 to 17,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,41
Willimantic,0NA,2013,0 to 8,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,4
Willimantic,0NA,2013,0 to 8,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,41
Willimantic,0NA,2013,0 to 8,Moral Neglect,Unsubstantiated,Number,Child Abuse and Neglect,5
Willimantic,0NA,2013,9 to 17,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,35
Willimantic,0NA,2013,9 to 17,Moral Neglect,Unsubstantiated,Number,Child Abuse and Neglect,5
Willimantic,0NA,2013,9 to 17,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,53
Willimantic,0NA,2013,9 to 17,Educational Neglect,Unsubstantiated,Number,Child Abuse and Neglect,3
Willimantic,0NA,2013,0 to 8,Educational Neglect,Unsubstantiated,Number,Child Abuse and Neglect,3
Willimantic,0NA,2013,9 to 17,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,4
Willimantic,0NA,2013,9 to 17,Physical Neglect,Pending,Number,Child Abuse and Neglect,20
Willington,0901385950,2008,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,33.26
Willington,0901385950,2013,0 to 8,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Willington,0901385950,2013,0 to 8,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Willington,0901385950,2013,0 to 8,Emotional Neglect,Pending,Number,Child Abuse and Neglect,0
Willington,0901385950,2013,9 to 17,Emotional Neglect,Pending,Number,Child Abuse and Neglect,0
Willington,0901385950,2013,9 to 17,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Willington,0901385950,2008,0 to 9,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,11
Willington,0901385950,2013,0 to 8,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,0
Willington,0901385950,2009,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,39.91
Willington,0901385950,2013,9 to 17,Physical Abuse,Pending,Number,Child Abuse and Neglect,0
Willington,0901385950,2013,0 to 8,All,Referred to Family Assessment Response,Number,Child Abuse and Neglect,-9999
Willington,0901385950,2009,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,31.04
Willington,0901385950,2013,0 to 8,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,0
Willington,0901385950,2013,9 to 17,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,0
Willington,0901385950,2013,0 to 8,Physical Abuse,Pending,Number,Child Abuse and Neglect,0
Willington,0901385950,2013,9 to 17,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,1
Willington,0901385950,2008,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,22
Willington,0901385950,2009,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,18
Willington,0901385950,2010,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,53.22
Willington,0901385950,2008,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,19
Willington,0901385950,2010,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,31.04
Willington,0901385950,2008,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,48.78
Willington,0901385950,2010,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,37.69
Willington,0901385950,2013,9 to 17,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Willington,0901385950,2013,0 to 8,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Willington,0901385950,2013,9 to 17,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Willington,0901385950,2008,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,15
Willington,0901385950,2013,9 to 17,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,1
Willington,0901385950,2013,0 to 8,All,Substantiated unduplicated,Number,Child Abuse and Neglect,-9999
Willington,0901385950,2013,9 to 17,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,0
Willington,0901385950,2011,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,22.17
Willington,0901385950,2013,0 to 8,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Willington,0901385950,2013,9 to 17,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,3
Willington,0901385950,2013,0 to 8,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,1
Willington,0901385950,2013,9 to 17,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Willington,0901385950,2013,9 to 17,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,15
Willington,0901385950,2013,0 to 8,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,1
Willington,0901385950,2008,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,18
Willington,0901385950,2013,0 to 8,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Willington,0901385950,2013,0 to 8,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,15
Willington,0901385950,2010,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,17
Willington,0901385950,2013,0 to 8,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Willington,0901385950,2008,0 to 9,Emotional Neglect,Substantiated,Rate per 1000,Child Abuse and Neglect,24.39
Willington,0901385950,2013,0 to 8,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,3
Willington,0901385950,2011,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,10
Willington,0901385950,2008,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,42.13
Willington,0901385950,2013,9 to 17,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Willington,0901385950,2010,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,26.61
Willington,0901385950,2010,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,24
Willington,0901385950,2009,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,14
Willington,0901385950,2013,9 to 17,Sexual Abuse/Exploitation,Substantiated,Number,Child Abuse and Neglect,-9999
Willington,0901385950,2013,9 to 17,Physical Abuse,Substantiated,Number,Child Abuse and Neglect,-9999
Willington,0901385950,2013,0 to 8,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Willington,0901385950,2008,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,39.91
Willington,0901385950,2010,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,14
Willington,0901385950,2010,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,12
Wilton,0900186370,2013,9 to 17,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,9
Wilton,0900186370,2013,9 to 17,Emotional Neglect,Pending,Number,Child Abuse and Neglect,0
Wilton,0900186370,2011,0 to 9,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,11
Wilton,0900186370,2008,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,7.56
Wilton,0900186370,2013,9 to 17,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,0
Wilton,0900186370,2013,9 to 17,Emotional Abuse/Maltreatment,Substantiated,Number,Child Abuse and Neglect,-9999
Wilton,0900186370,2013,9 to 17,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,3
Wilton,0900186370,2013,0 to 8,Emotional Neglect,Pending,Number,Child Abuse and Neglect,0
Wilton,0900186370,2013,9 to 17,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Wilton,0900186370,2013,0 to 8,Physical Abuse,Unsubstantiated,Number,Child Abuse and Neglect,0
Wilton,0900186370,2013,0 to 8,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Wilton,0900186370,2011,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,22
Wilton,0900186370,2009,0 to 9,Physical Abuse,Total reports,Rate per 1000,Child Abuse and Neglect,4.62
Wilton,0900186370,2013,9 to 17,Physical Abuse,Pending,Number,Child Abuse and Neglect,1
Wilton,0900186370,2011,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,12.61
Wilton,0900186370,2013,0 to 8,Emotional Neglect,Unsubstantiated,Number,Child Abuse and Neglect,3
Wilton,0900186370,2013,0 to 8,Emotional Abuse/Maltreatment,Unsubstantiated,Number,Child Abuse and Neglect,2
Wilton,0900186370,2011,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,6.3
Wilton,0900186370,2009,0 to 9,Physical Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,8.82
Wilton,0900186370,2013,9 to 17,Emotional Abuse/Maltreatment,Pending,Number,Child Abuse and Neglect,0
Wilton,0900186370,2013,0 to 8,Physical Abuse,Pending,Number,Child Abuse and Neglect,1
Wilton,0900186370,2013,0 to 8,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,1
Wilton,0900186370,2011,0 to 9,All,Substantiated unduplicated,Rate per 1000,Child Abuse and Neglect,4.62
Wilton,0900186370,2009,0 to 9,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,19
Wilton,0900186370,2011,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,4.62
Wilton,0900186370,2013,0 to 8,Physical Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Wilton,0900186370,2013,0 to 8,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Wilton,0900186370,2008,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,4.62
Wilton,0900186370,2013,0 to 8,Physical Neglect,Unsubstantiated,Number,Child Abuse and Neglect,9
Wilton,0900186370,2010,0 to 9,Emotional Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,4.2
Wilton,0900186370,2008,0 to 9,All,Substantiated,Rate per 1000,Child Abuse and Neglect,5.88
Wilton,0900186370,2008,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,14
Wilton,0900186370,2008,0 to 9,Physical Neglect,Unsubstantiated,Rate per 1000,Child Abuse and Neglect,4.62
Wilton,0900186370,2013,0 to 8,Sexual Abuse/Exploitation,Pending,Number,Child Abuse and Neglect,0
Wilton,0900186370,2013,0 to 8,Physical Neglect,Pending,Number,Child Abuse and Neglect,0
Wilton,0900186370,2011,0 to 9,All,Substantiated,Number,Child Abuse and Neglect,15
Wilton,0900186370,2010,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,15
Wilton,0900186370,2011,0 to 9,Emotional Neglect,Total reports,Number,Child Abuse and Neglect,17
Wilton,0900186370,2008,0 to 9,Physical Neglect,Total reports,Number,Child Abuse and Neglect,18
Wilton,0900186370,2013,9 to 17,Emotional Neglect,Substantiated,Number,Child Abuse and Neglect,-9999
Wilton,0900186370,2010,0 to 9,Emotional Neglect,Total reports,Rate per 1000,Child Abuse and Neglect,6.3
Wilton,0900186370,2013,9 to 17,Sexual Abuse/Exploitation,Unsubstantiated,Number,Child Abuse and Neglect,1
